0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
28,22,16,14,14,14,24,38,53,37,22,13,55,29,27,34,23,22,27,34,36,33,38,22
13,11,10,4,5,7,8,28,34,35,27,24,23,28,34,25,25,18,31,24,27,34,29,20
26,13,11,6,6,6,17,47,84,42,14,18,42,36,22,23,27,26,34,44,25,31,34,23
22,9,11,10,4,12,30,67,73,57,26,30,43,33,24,31,24,34,40,42,27,33,35,29
20,6,4,3,4,15,33,67,96,49,21,24,52,33,27,29,21,21,31,36,30,33,34,24
23,13,8,4,9,10,35,73,133,83,38,26,78,35,30,30,30,41,35,29,38,28,35,36
13,13,14,7,8,10,37,85,142,72,42,29,75,37,34,38,14,28,40,45,38,24,24,33
22,20,5,4,7,11,50,75,124,79,40,27,62,39,32,29,24,32,38,32,36,40,34,28
21,10,5,8,9,12,29,66,78,65,25,26,59,33,31,31,30,35,37,23,37,27,31,26
25,16,6,4,3,10,34,73,157,76,33,24,75,37,39,38,22,30,37,27,30,42,42,36
24,10,8,9,8,11,24,46,55,65,21,35,43,40,31,23,26,25,35,32,30,36,27,28
23,4,8,6,3,11,33,66,86,57,32,21,59,33,36,41,21,33,34,37,26,41,35,24
23,13,10,6,4,14,26,57,104,61,31,31,51,35,23,37,31,28,30,42,35,38,31,38
18,11,4,7,8,14,58,82,128,86,38,19,83,28,21,23,24,38,39,35,43,39,26,33
16,9,8,9,9,15,52,77,96,82,25,28,58,42,30,35,28,31,38,34,28,29,29,30
26,9,14,6,3,15,40,55,90,53,28,27,67,39,34,21,23,45,42,29,43,37,40,26
28,18,9,6,2,15,55,84,139,74,36,28,90,33,25,40,44,34,38,42,46,37,37,37
27,11,11,3,10,17,54,67,106,67,28,27,66,40,31,32,26,36,36,35,34,29,31,36
25,16,7,4,4,12,35,59,85,46,25,26,58,34,37,22,23,34,36,39,29,38,28,30
20,6,6,4,12,16,32,92,139,70,41,24,79,32,26,39,33,36,46,44,40,37,35,25
20,11,5,4,9,16,45,92,136,87,30,24,77,48,27,32,33,22,41,43,44,56,52,46
30,18,6,6,2,11,43,85,107,61,37,29,55,35,25,32,29,30,43,39,30,44,36,26
32,7,11,5,6,12,33,56,93,63,39,18,55,32,32,37,21,37,43,35,42,31,29,19
16,10,1,3,5,10,42,79,123,64,34,33,95,29,27,26,36,30,39,47,44,26,27,30
29,14,9,4,5,14,40,81,101,84,46,27,65,46,39,33,27,47,41,47,29,44,38,39
27,14,3,6,10,15,32,58,125,76,23,39,79,38,37,49,32,41,29,33,21,25,37,28
15,10,10,3,7,11,42,77,133,67,34,27,86,28,30,28,34,34,32,42,43,33,33,35
31,12,9,4,2,15,47,77,134,82,29,34,72,44,28,32,41,34,35,49,46,38,48,38
16,11,4,3,3,6,17,43,72,26,15,12,49,15,13,11,7,19,20,12,14,24,14,16
9,3,6,3,3,4,23,45,69,44,28,12,40,34,14,14,14,17,17,17,12,23,17,11
19,4,6,3,3,5,12,39,75,33,23,11,47,16,11,14,12,15,24,25,12,25,15,25
